is_left_footed,game_away,is_endgame,is_start,time_norm,distance,angle,is_left_side,has_previous_attempts,wind_speed,precipitation_probability,resultat
0,0,0,0,0.1,41,34,1,0,1.3,0.02,1
0,0,0,0,0.31,45,51,0,1,1.3,0.02,1
0,0,0,0,0.42,40,18,1,1,1.3,0.02,1
0,0,0,0,0.48,22,47,0,1,1.3,0.02,1
0,0,0,0,0.94,31,31,0,1,1.3,0.02,0
0,0,1,0,0.96,48,24,1,1,1.3,0.02,0
0,0,1,0,1.0,53,10,1,0,1.3,0.02,0
0,0,1,0,1.0,26,50,0,1,1.3,0.02,1
0,0,1,0,1.0,42,28,1,1,1.3,0.02,1
0,1,0,0,0.23,39,26,1,0,1.3,0.02,1
0,1,1,0,1.0,36,54,1,0,1.3,0.02,0
0,0,0,0,0.07,29,38,0,0,1.59,0.0,1
0,0,0,0,0.43,39,54,0,1,1.59,0.0,1
0,0,0,0,0.53,40,55,1,1,1.59,0.0,1
0,0,0,0,0.85,33,45,1,1,1.59,0.0,1
0,0,0,0,0.89,16,38,1,1,1.59,0.0,1
0,0,1,0,0.98,40,55,1,1,1.59,0.0,1
0,0,1,0,1.0,31,37,1,1,1.59,0.0,0
1,1,0,0,0.24,34,40,0,0,1.59,0.0,1
1,1,0,0,0.35,27,36,0,1,1.59,0.0,0
1,1,0,0,0.49,34,45,1,1,1.59,0.0,1
1,1,0,0,0.56,10,11,1,1,1.59,0.0,1
1,1,1,0,1.0,11,22,0,1,1.59,0.0,1
0,0,0,0,0.54,7,8,0,0,1.89,1.0,1
0,0,1,0,1.0,32,44,0,1,1.89,1.0,0
0,0,1,0,1.0,30,44,0,1,1.89,1.0,0
0,0,1,0,1.0,30,41,1,0,1.89,1.0,1
0,0,1,0,1.0,10,6,0,1,1.89,1.0,1
0,1,0,0,0.19,38,5,1,0,1.89,1.0,0
0,1,0,0,0.46,41,53,1,1,1.89,1.0,1
0,1,0,0,0.91,28,13,0,1,1.89,1.0,1
0,1,1,0,1.0,36,32,0,1,1.89,1.0,1
0,1,1,0,1.0,43,53,0,1,1.89,1.0,0
0,1,1,0,1.0,29,34,1,1,1.89,1.0,1
0,0,0,0,0.13,9,18,1,0,3.4,0.0,1
0,0,1,0,1.0,33,12,0,1,3.4,0.0,1
0,0,1,0,1.0,11,15,1,1,3.4,0.0,1
0,0,1,0,1.0,45,0,1,0,3.4,0.0,1
0,1,0,0,0.08,32,39,1,0,3.4,0.0,0
0,1,0,0,0.3,39,54,1,1,3.4,0.0,0
0,1,1,0,1.0,41,53,1,1,3.4,0.0,0
0,0,0,0,0.08,31,36,0,0,6.25,0.0,1
0,0,0,0,0.14,12,0,1,1,6.25,0.0,1
0,0,0,0,0.43,42,55,0,1,6.25,0.0,0
0,0,1,0,1.0,30,27,0,1,6.25,0.0,1
0,0,1,0,1.0,39,50,0,1,6.25,0.0,0
0,1,0,0,0.31,41,0,1,0,6.25,0.0,1
0,1,0,0,0.34,43,8,0,1,6.25,0.0,1
0,1,0,0,0.54,41,14,1,1,6.25,0.0,1
0,1,0,0,0.81,41,0,1,1,6.25,0.0,1
0,1,0,0,0.84,11,5,1,1,6.25,0.0,1
0,0,0,0,0.08,42,52,1,0,1.7,0.0,1
0,0,0,0,0.16,12,20,1,1,1.7,0.0,1
0,0,0,0,0.4,35,40,0,1,1.7,0.0,1
0,0,0,0,0.47,30,33,1,1,1.7,0.0,1
0,0,0,0,0.9,11,0,1,1,1.7,0.0,1
0,1,0,1,0.03,40,28,0,0,1.7,0.0,1
0,1,0,0,0.36,35,45,0,1,1.7,0.0,0
0,1,1,0,1.0,7,34,0,0,1.7,0.0,1
0,1,1,0,1.0,10,29,0,1,1.7,0.0,1
0,1,1,0,1.0,19,18,1,1,1.7,0.0,1
0,0,0,0,0.74,44,51,1,0,6.9,1.0,0
0,0,1,0,0.96,15,4,1,1,6.9,1.0,1
0,0,1,0,1.0,9,18,0,1,6.9,1.0,1
0,0,1,0,1.0,26,32,0,1,6.9,1.0,1
0,1,0,0,0.13,37,49,0,0,6.9,1.0,1
0,1,0,0,0.48,29,8,1,1,6.9,1.0,1
0,1,0,0,0.61,35,44,1,1,6.9,1.0,1
0,1,1,0,1.0,29,41,1,1,6.9,1.0,1
0,1,1,0,1.0,21,31,0,1,6.9,1.0,0
0,1,1,0,1.0,44,3,0,1,6.9,1.0,1
0,0,0,0,0.28,41,52,0,0,1.66,0.0,1
0,0,0,0,0.35,34,43,0,1,1.66,0.0,1
0,0,0,0,0.53,34,40,0,1,1.66,0.0,1
0,0,0,0,0.65,41,54,1,1,1.66,0.0,1
0,0,1,0,1.0,36,48,0,1,1.66,0.0,0
0,0,1,0,1.0,35,50,1,0,1.66,0.0,0
0,0,1,0,1.0,30,40,0,1,1.66,0.0,0
0,0,0,0,0.52,28,46,1,0,2.1,0.0,0
0,0,1,0,0.97,40,53,1,1,2.1,0.0,0
0,0,1,0,1.0,48,27,0,1,2.1,0.0,1
0,0,1,0,1.0,21,28,1,0,2.1,0.0,1
0,0,1,0,1.0,37,54,1,1,2.1,0.0,1
0,1,0,0,0.13,38,55,1,0,2.1,0.0,1
0,1,0,0,0.6,15,16,1,1,2.1,0.0,1
0,1,1,0,1.0,32,46,1,1,2.1,0.0,0
0,1,1,0,1.0,11,15,0,1,2.1,0.0,1
0,0,0,0,0.19,36,3,1,0,3.24,0.0,0
0,0,0,0,0.57,29,38,0,1,3.24,0.0,1
0,0,0,0,0.67,49,6,0,1,3.24,0.0,1
0,0,0,0,0.91,41,54,0,1,3.24,0.0,1
0,0,1,0,1.0,11,15,0,1,3.24,0.0,1
0,0,1,0,1.0,32,44,1,1,3.24,0.0,1
0,1,0,0,0.38,41,52,1,0,3.24,0.0,0
0,1,0,0,0.59,35,46,0,1,3.24,0.0,1
0,1,1,0,0.98,18,45,0,1,3.24,0.0,1
0,1,1,0,1.0,22,39,1,1,3.24,0.0,1
0,1,1,0,1.0,27,34,0,1,3.24,0.0,1
0,1,1,0,1.0,25,37,1,1,3.24,0.0,1
0,1,1,0,1.0,31,9,0,1,3.24,0.0,1
0,1,1,0,1.0,13,4,1,1,3.24,0.0,1
0,0,0,0,0.09,25,26,0,0,4.57,0.0,1
0,0,0,0,0.28,13,13,1,1,4.57,0.0,1
0,0,0,0,0.41,12,9,0,1,4.57,0.0,1
0,0,0,0,0.6,20,6,1,1,4.57,0.0,1
0,0,0,0,0.88,13,18,1,1,4.57,0.0,1
0,0,1,0,1.0,22,34,1,1,4.57,0.0,1
0,0,1,0,1.0,41,53,1,1,4.57,0.0,0
0,1,0,0,0.36,19,43,0,0,4.57,0.0,1
0,1,0,0,0.46,14,12,1,1,4.57,0.0,1
0,1,0,0,0.57,15,23,0,1,4.57,0.0,1
0,1,1,0,1.0,17,36,1,1,4.57,0.0,1
